               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071399,            0.041904,            0.059428,             0.62478,             0.38453,             0.38344,             0.22936,            0.052127,            0.024811,            0.031448,             0.07006,           0.0033267,           0.0033267
                   1,            0.055706,            0.036912,            0.026753,              0.5339,             0.48329,             0.48747,             0.28678,            0.049222,            0.024419,            0.017412,            0.039928,           0.0065281,           0.0065281
                   2,            0.053043,            0.036251,            0.020317,              0.4611,             0.48695,             0.45801,             0.24301,            0.052043,            0.025792,            0.018922,           0.0096643,           0.0095976,           0.0095976
                   3,            0.050562,            0.037804,            0.020191,              0.5037,             0.45305,             0.44535,             0.26307,            0.047908,             0.02694,            0.019534,            0.009406,            0.009406,            0.009406
                   4,            0.049266,            0.037836,              0.0189,             0.52815,             0.47545,             0.47737,             0.28116,            0.047843,            0.025802,            0.017209,            0.009406,            0.009406,            0.009406
                   5,            0.047818,            0.038078,            0.017481,             0.53827,             0.49515,             0.48316,             0.28635,            0.047152,            0.026184,            0.016516,            0.009208,            0.009208,            0.009208
                   6,            0.046996,            0.037759,            0.016664,             0.58495,             0.47604,             0.50313,              0.3152,            0.045967,            0.025894,            0.015723,             0.00901,             0.00901,             0.00901
                   7,            0.046077,            0.037445,            0.015568,             0.57382,             0.51911,             0.51913,             0.31449,            0.045433,            0.025861,            0.014509,            0.008812,            0.008812,            0.008812
                   8,            0.044793,            0.036466,             0.01442,             0.58586,             0.48497,             0.50314,             0.31647,            0.046172,            0.027232,             0.01755,            0.008614,            0.008614,            0.008614
                   9,            0.044424,            0.036207,            0.013747,              0.6144,             0.53438,             0.54845,             0.34651,            0.043337,            0.025487,             0.01376,            0.008416,            0.008416,            0.008416
                  10,            0.043857,            0.036021,            0.012718,             0.61435,             0.51791,             0.54833,             0.34122,            0.043613,            0.025649,            0.013654,            0.008218,            0.008218,            0.008218
                  11,            0.042967,            0.035634,            0.012382,             0.63147,             0.51432,             0.55785,             0.35722,            0.043418,            0.025285,             0.01326,             0.00802,             0.00802,             0.00802
                  12,            0.042371,            0.035278,            0.011793,             0.67562,             0.53728,             0.57389,             0.36977,            0.042948,            0.025143,            0.012951,            0.007822,            0.007822,            0.007822
                  13,             0.04184,            0.035322,            0.011223,             0.60595,             0.55704,             0.56856,             0.36339,            0.042766,            0.025181,            0.012718,            0.007624,            0.007624,            0.007624
