               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02689,            0.019017,           0.0043418,             0.63048,             0.46514,             0.48287,              0.3197,            0.047059,            0.030207,            0.018358,              0.0706,           0.0032667,           0.0032667
                   1,            0.032598,            0.019086,           0.0040172,             0.53951,             0.48849,             0.46755,             0.28439,            0.050192,            0.029726,             0.01882,            0.040382,           0.0063822,           0.0063822
                   2,             0.03658,            0.019659,           0.0053883,             0.53876,             0.43611,             0.45307,             0.25546,             0.05137,            0.030212,            0.019613,           0.0099444,           0.0092777,           0.0092777
                   3,            0.038097,            0.020553,           0.0056991,             0.57311,             0.43107,             0.45862,             0.27535,            0.051516,            0.029467,            0.020525,             0.00901,             0.00901,             0.00901
                   4,            0.038409,            0.021223,           0.0063181,             0.53406,             0.46156,             0.43612,             0.26165,             0.05146,             0.02961,            0.021149,             0.00901,             0.00901,             0.00901
                   5,            0.035797,            0.020827,            0.006497,             0.67064,             0.43078,             0.45398,             0.26572,            0.050849,              0.0287,            0.019098,             0.00868,             0.00868,             0.00868
                   6,            0.037181,             0.02012,           0.0065017,             0.58636,             0.40848,             0.42713,             0.25013,            0.050577,            0.030182,            0.019994,             0.00835,             0.00835,             0.00835
                   7,            0.035567,            0.020512,           0.0064004,             0.49794,             0.41293,             0.42413,             0.24845,            0.052277,            0.031919,            0.020555,             0.00802,             0.00802,             0.00802
                   8,            0.034117,            0.020492,           0.0062066,             0.52068,             0.43588,             0.41155,             0.23989,            0.050844,            0.030581,            0.020606,             0.00769,             0.00769,             0.00769
                   9,             0.03383,            0.022083,           0.0059134,             0.59527,              0.4405,             0.44861,             0.26732,            0.049592,               0.029,             0.01975,             0.00736,             0.00736,             0.00736
                  10,            0.032806,            0.021248,           0.0059676,             0.55113,             0.46912,             0.46079,               0.295,             0.05052,            0.030151,            0.020824,             0.00703,             0.00703,             0.00703
                  11,            0.033356,            0.021302,           0.0055715,             0.61114,              0.4392,             0.47124,             0.28903,            0.049706,            0.030649,            0.020887,              0.0067,              0.0067,              0.0067
                  12,            0.032146,            0.020037,           0.0052249,             0.56915,             0.45745,             0.43915,             0.27553,            0.050031,            0.031573,            0.020373,             0.00637,             0.00637,             0.00637
                  13,            0.031502,            0.019859,           0.0050895,             0.53103,             0.48306,             0.45292,             0.29116,            0.048755,             0.03119,            0.020386,             0.00604,             0.00604,             0.00604
                  14,            0.031866,            0.019997,           0.0051182,             0.65251,             0.41785,             0.45734,             0.28998,            0.048067,            0.032296,            0.020748,             0.00571,             0.00571,             0.00571
                  15,             0.03052,            0.020321,           0.0047221,             0.64028,             0.44254,             0.47024,             0.30919,             0.05066,            0.031592,            0.020277,             0.00538,             0.00538,             0.00538
                  16,             0.02873,            0.018986,           0.0045048,             0.58121,             0.47083,             0.46578,             0.29845,            0.048694,            0.031538,             0.01865,             0.00505,             0.00505,             0.00505
                  17,            0.029348,            0.019734,           0.0043749,             0.57463,             0.49154,             0.49503,             0.32476,            0.046997,            0.029949,            0.018355,             0.00472,             0.00472,             0.00472
                  18,            0.028677,            0.018875,           0.0043229,             0.58247,             0.49561,             0.50607,             0.33776,            0.047001,             0.03063,            0.018844,             0.00439,             0.00439,             0.00439
                  19,            0.029082,            0.018899,           0.0039461,             0.53635,             0.48709,             0.48842,             0.33042,            0.046725,            0.030925,            0.019358,             0.00406,             0.00406,             0.00406
                  20,            0.026483,             0.01733,           0.0043208,             0.54619,              0.5129,              0.4798,             0.32123,            0.047585,            0.030811,             0.01859,             0.00373,             0.00373,             0.00373
                  21,            0.026373,            0.017417,            0.003773,              0.5674,             0.48948,             0.48638,             0.33288,            0.046031,            0.031379,            0.018652,              0.0034,              0.0034,              0.0034
                  22,            0.026466,            0.018747,           0.0036059,             0.58175,             0.44876,             0.48139,             0.31951,            0.046787,            0.031411,            0.018997,             0.00307,             0.00307,             0.00307
                  23,            0.024892,            0.017303,           0.0033193,             0.55846,              0.4472,             0.46999,             0.31029,             0.04642,             0.03209,            0.018974,             0.00274,             0.00274,             0.00274
                  24,            0.025104,            0.017622,           0.0033879,             0.50607,             0.50046,              0.4672,              0.3048,            0.046615,            0.032594,            0.019334,             0.00241,             0.00241,             0.00241
                  25,            0.024009,             0.01622,           0.0030002,             0.62695,             0.43381,             0.47309,             0.31327,            0.046937,             0.03265,            0.018577,             0.00208,             0.00208,             0.00208
                  26,            0.023793,            0.017006,           0.0031489,             0.56599,             0.47866,             0.49109,             0.33587,            0.046127,            0.032667,            0.018208,             0.00175,             0.00175,             0.00175
                  27,            0.023009,            0.016044,           0.0029885,             0.53936,             0.48664,             0.47781,             0.32643,             0.04702,            0.033545,            0.019191,             0.00142,             0.00142,             0.00142
                  28,            0.021889,             0.01578,           0.0028158,             0.57935,             0.47335,             0.48339,             0.32874,            0.046948,             0.03371,            0.019081,             0.00109,             0.00109,             0.00109
                  29,            0.021925,            0.015857,            0.002581,              0.6202,             0.48303,             0.49615,             0.34751,            0.046188,            0.033255,            0.018809,             0.00076,             0.00076,             0.00076
