               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099454,            0.045255,            0.078934,              0.2738,            0.050017,            0.074271,             0.03326,            0.076376,            0.028198,            0.070116,              0.0706,           0.0032667,           0.0032667
                   1,            0.072167,            0.041877,             0.06027,             0.60525,             0.21208,             0.20301,             0.11043,            0.069665,            0.023694,            0.048917,            0.040469,           0.0064693,           0.0064693
                   2,             0.06773,            0.036303,            0.045762,             0.60873,             0.27083,             0.25589,             0.11929,            0.070137,            0.021888,            0.036817,            0.010207,             0.00954,             0.00954
                   3,            0.064759,            0.035633,            0.034045,             0.50225,             0.32982,             0.29223,             0.14232,            0.063265,            0.022258,            0.030192,            0.009406,            0.009406,            0.009406
                   4,            0.059932,            0.034997,            0.029281,             0.48018,             0.40596,             0.33382,             0.16962,            0.058295,            0.023199,             0.02763,            0.009406,            0.009406,            0.009406
                   5,            0.054642,            0.033065,            0.024905,             0.50768,             0.39137,             0.37905,             0.20454,            0.053904,            0.023282,            0.026865,            0.009208,            0.009208,            0.009208
                   6,            0.054106,            0.030975,            0.022799,             0.54124,              0.4282,             0.44101,             0.25863,            0.053275,            0.023007,            0.023235,             0.00901,             0.00901,             0.00901
                   7,            0.049902,            0.031145,            0.020482,             0.44873,             0.45404,             0.42338,             0.24055,            0.053118,            0.023633,            0.022349,            0.008812,            0.008812,            0.008812
                   8,            0.048262,            0.030049,            0.017952,             0.62769,              0.4006,             0.40506,              0.2242,            0.051847,            0.023986,            0.023149,            0.008614,            0.008614,            0.008614
                   9,            0.047684,            0.031747,            0.016575,             0.65966,             0.39749,             0.40157,             0.23746,            0.050463,            0.024482,            0.021718,            0.008416,            0.008416,            0.008416
                  10,            0.045872,            0.030117,            0.016644,             0.46068,              0.4788,             0.44227,              0.2628,            0.049038,            0.024733,            0.021395,            0.008218,            0.008218,            0.008218
